Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName,Class
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.14442064847293618,-1.285718978932921,0.19739563254507259,3,SoonCoin,3
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4894669344088339,-1.1771331087420942,-0.012943807329513647,3,1Credit,3
ISL,X11,PoW/PoS,1513704.0,0.0,-0.40420897768009934,1.1851444859236446,-0.5199315172692621,0,IslaCoin,0
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.39643251441714716,3.3618737078507754,-0.42758080297939,0,Nexus,0
MARS,X11,PoW,32221574.820996,33000000.0,-0.23305284132573434,-0.9015798189411932,0.06189596211646642,3,MarsCoin ,3
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.1413834896062605,-2.2158621637367992,0.35261693886985734,3,Crypto,3
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.14416050403073308,-1.2857445108179424,0.1973924017298304,3,Anarchists Prime,3
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.41471758707954803,1.8379809766291637,-0.690974534674583,0,Droidz,0
BSC,X11,PoW,15863837.5,21000000.0,-0.23333777903233657,-0.9015703045015065,0.06190242747995863,3,BowsCoin,3
SQL,X11,PoS/PoW,329200.01639,0.0,-0.3463144611083111,0.9814495123199077,-0.10222045113652413,0,Squall Coin,0
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.1608169680724795,-1.105662890173959,-0.006080854556476602,3,Song Coin,3
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16000910719834913,-1.1056942982389584,-0.006098482196914267,3,BitZeny,3
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.28558688680606126,0.8003236975007889,-0.2492809035960958,0,Diggits,0
EXP,Ethash,PoW,10495278.0,16906397.0,-0.15387722942642057,-1.9741267858588625,0.39739893319951236,3,Expanse,3
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.28701436526436436,1.7218246203803513,-0.6443958886149216,0,Paycon,0
SC,Blake2b,PoW,33098296530.0,0.0,0.36538783651149254,-2.15214592579768,0.4319776422978562,3,Siacoin,3
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.30765382881764997,0.8002167088258243,-0.384528496802511,0,Emercoin,0
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.25948948317609244,1.7394740394323231,-0.6723133301829214,0,EverGreenCoin,0
MND,X11,PoW,15867695.0,16000000.0,-0.23337317597908946,-0.9015664113756198,0.06190280061012718,3,MindCoin,3
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.1443163627680627,-1.2857190680713102,0.19739272804850172,3,I0coin,3
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.07666430915220848,0.9256342044643211,-0.5844331664383334,0,Decred,0
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.15865063036308072,-1.1056645564371377,-0.006141219374147177,3,Revolution VR,3
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.1605547948150058,-1.9562413980163773,0.25744351830381923,3,HOdlcoin,3
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.3150679907873611,0.8009786235213853,-0.3844418509251514,0,EDRCoin,0
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.08165759823549044,1.1643569433568017,-0.5256614502952944,0,Hitcoin,0
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.1612564557910627,-1.1055649847721218,-0.006084084245238559,3,Gamecredits,3
